Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Component_Type,Ground_Truth
C0841,L09,11.085,11.3,11.93,12.481,Normal,Normal
C0842,L09,9.862,10.199,11.678,12.999,Normal,Normal
C0843,L09,10.431,10.648,12.134,13.089,Normal,Normal
C0844,L09,9.518,9.787,24.743,29.054,Sudden_Degradation,Anomaly
C0845,L09,10.102,10.756,11.524,12.032,Normal,Normal
C0846,L09,10.096,10.825,11.794,12.951,Normal,Normal
C0847,L09,9.631,10.167,11.204,12.488,Normal,Normal
C0848,L09,10.11,11.706,17.476,25.239,Gradual_Degradation,Anomaly
C0849,L09,10.375,10.931,11.812,12.505,Normal,Normal
C0850,L09,10.382,11.107,12.279,12.997,Normal,Normal
C0851,L09,9.231,9.702,10.674,11.576,Normal,Normal
C0852,L09,9.413,16.309,27.532,40.921,Latent_Defect,Anomaly
C0853,L09,10.317,10.677,11.568,12.588,Normal,Normal
C0854,L09,9.971,11.769,17.456,25.536,Gradual_Degradation,Anomaly
C0855,L09,10.57,10.992,12.042,13.209,Normal,Normal
C0856,L09,10.279,10.744,12.115,12.702,Normal,Normal
C0857,L09,10.298,12.062,16.933,24.308,Gradual_Degradation,Anomaly
C0858,L09,9.51,15.42,30.123,45.895,Latent_Defect,Anomaly
C0859,L09,9.969,12.066,17.91,25.723,Gradual_Degradation,Anomaly
C0860,L09,9.662,11.224,17.471,23.941,Gradual_Degradation,Anomaly
C0861,L09,10.815,11.24,12.197,13.068,Normal,Normal
C0862,L09,9.364,9.845,10.662,11.607,Normal,Normal
C0863,L09,10.479,11.02,12.526,13.926,Normal,Normal
C0864,L09,10.849,11.213,12.14,13.141,Normal,Normal
C0865,L09,10.535,11.29,12.336,13.319,Normal,Normal
C0866,L09,10.033,9.991,26.228,32.867,Sudden_Degradation,Anomaly
C0867,L09,10.191,10.753,11.046,11.84,Normal,Normal
C0868,L09,9.617,10.11,11.407,12.32,Normal,Normal
C0869,L09,10.263,10.668,11.109,12.154,Normal,Normal
C0870,L09,10.573,11.053,11.964,12.866,Normal,Normal
C0871,L09,10.493,10.851,11.672,12.477,Normal,Normal
C0872,L09,10.23,10.695,11.692,12.815,Normal,Normal
C0873,L09,10.907,17.564,27.62,43.584,Latent_Defect,Anomaly
C0874,L09,9.951,10.229,11.105,12.079,Normal,Normal
C0875,L09,10.198,10.751,11.238,13.293,Normal,Normal
C0876,L09,10.447,10.896,28.09,31.524,Sudden_Degradation,Anomaly
C0877,L09,8.496,9.11,9.616,10.858,Normal,Normal
C0878,L09,9.662,15.091,27.312,40.059,Latent_Defect,Anomaly
C0879,L09,10.247,10.176,11.002,11.899,Normal,Normal
C0880,L09,9.92,10.506,11.52,12.743,Normal,Normal
C0881,L09,10.928,12.736,19.326,29.607,Gradual_Degradation,Anomaly
C0882,L09,9.412,16.077,28.065,44.422,Latent_Defect,Anomaly
C0883,L09,9.313,9.917,10.962,12.735,Normal,Normal
C0884,L09,10.643,11.021,11.552,12.081,Normal,Normal
C0885,L09,10.718,11.148,12.255,13.801,Normal,Normal
C0886,L09,10.537,10.927,11.935,12.318,Normal,Normal
C0887,L09,10.082,11.021,12.043,13.232,Normal,Normal
C0888,L09,10.529,11.068,11.817,13.387,Normal,Normal
C0889,L09,9.954,10.277,11.162,12.381,Normal,Normal
C0890,L09,9.625,9.876,24.756,30.249,Sudden_Degradation,Anomaly
C0891,L09,10.145,10.246,11.528,12.168,Normal,Normal
C0892,L09,9.213,9.469,9.863,10.822,Normal,Normal
C0893,L09,9.701,15.734,25.092,34.845,Latent_Defect,Anomaly
C0894,L09,10.145,10.654,12.002,13.391,Normal,Normal
C0895,L09,9.61,10.151,11.195,11.932,Normal,Normal
C0896,L09,9.588,11.861,15.674,23.465,Gradual_Degradation,Anomaly
C0897,L09,10.603,10.798,11.683,12.411,Normal,Normal
C0898,L09,9.627,9.991,10.699,11.981,Normal,Normal
C0899,L09,9.346,14.748,24.474,36.688,Latent_Defect,Anomaly
C0900,L09,10.766,11.273,25.454,31.46,Sudden_Degradation,Anomaly
C0901,L10,9.436,10.162,10.645,11.279,Normal,Normal
C0902,L10,10.523,11.175,11.997,13.357,Normal,Normal
C0903,L10,10.85,11.269,12.595,14.236,Normal,Normal
C0904,L10,10.211,11.022,11.403,12.276,Normal,Normal
C0905,L10,10.471,11.009,12.106,14.018,Normal,Normal
C0906,L10,9.017,9.5,9.89,10.909,Normal,Normal
C0907,L10,9.875,10.041,10.86,11.987,Normal,Normal
C0908,L10,10.325,12.557,17.803,24.979,Gradual_Degradation,Anomaly
C0909,L10,10.138,10.877,12.393,12.396,Normal,Normal
C0910,L10,10.048,10.484,10.961,11.742,Normal,Normal
C0911,L10,9.454,9.981,10.831,12.006,Normal,Normal
C0912,L10,10.039,10.75,11.839,12.528,Normal,Normal
C0913,L10,10.079,10.614,11.492,12.245,Normal,Normal
C0914,L10,10.288,10.758,11.913,13.241,Normal,Normal
C0915,L10,10.162,10.556,11.136,12.625,Normal,Normal
C0916,L10,10.16,10.628,11.952,13.329,Normal,Normal
C0917,L10,10.244,10.958,12.064,12.715,Normal,Normal
C0918,L10,9.729,10.215,11.377,12.728,Normal,Normal
C0919,L10,9.666,10.154,11.387,12.364,Normal,Normal
C0920,L10,9.305,10.013,10.908,11.021,Normal,Normal
C0921,L10,10.685,10.968,11.67,13.038,Normal,Normal
C0922,L10,9.619,10.044,11.075,11.882,Normal,Normal
C0923,L10,9.109,9.163,10.462,11.674,Normal,Normal
C0924,L10,9.767,11.162,15.889,24.389,Gradual_Degradation,Anomaly
C0925,L10,9.322,9.866,10.802,12.274,Normal,Normal
C0926,L10,10.298,10.394,11.538,13.137,Normal,Normal
C0927,L10,9.753,10.153,11.19,11.94,Normal,Normal
C0928,L10,10.048,11.811,15.885,22.552,Gradual_Degradation,Anomaly
C0929,L10,9.224,9.857,11.081,12.64,Normal,Normal
C0930,L10,10.779,11.383,12.209,12.746,Normal,Normal
C0931,L10,10.425,17.843,27.55,42.481,Latent_Defect,Anomaly
C0932,L10,10.934,13.431,19.108,27.622,Gradual_Degradation,Anomaly
C0933,L10,9.769,10.421,11.481,12.448,Normal,Normal
C0934,L10,10.039,10.447,11.194,12.415,Normal,Normal
C0935,L10,9.983,10.164,24.242,28.869,Sudden_Degradation,Anomaly
C0936,L10,10.002,10.826,26.617,30.66,Sudden_Degradation,Anomaly
C0937,L10,9.705,10.114,11.554,12.769,Normal,Normal
C0938,L10,9.746,9.874,10.587,11.046,Normal,Normal
C0939,L10,9.208,9.791,25.785,30.491,Sudden_Degradation,Anomaly
C0940,L10,10.147,10.498,26.814,31.744,Sudden_Degradation,Anomaly
C0941,L10,9.407,10.118,10.946,11.835,Normal,Normal
C0942,L10,10.679,11.108,12.213,12.854,Normal,Normal
C0943,L10,9.756,10.471,12.063,13.229,Normal,Normal
C0944,L10,10.517,11.31,12.294,13.074,Normal,Normal
C0945,L10,10.084,12.462,18.334,27.534,Gradual_Degradation,Anomaly
C0946,L10,9.455,11.772,16.946,24.642,Gradual_Degradation,Anomaly
C0947,L10,9.891,10.544,11.027,11.254,Normal,Normal
C0948,L10,10.535,10.88,26.62,32.205,Sudden_Degradation,Anomaly
C0949,L10,9.95,10.438,11.508,12.796,Normal,Normal
C0950,L10,9.521,11.87,16.806,24.506,Gradual_Degradation,Anomaly
C0951,L10,9.497,11.641,17.201,23.984,Gradual_Degradation,Anomaly
C0952,L10,10.814,10.993,12.23,13.002,Normal,Normal
C0953,L10,10.426,16.197,28.209,43.926,Latent_Defect,Anomaly
C0954,L10,9.803,17.122,27.93,41.331,Latent_Defect,Anomaly
C0955,L10,10.404,10.788,11.711,12.446,Normal,Normal
C0956,L10,10.014,10.535,11.365,12.698,Normal,Normal
C0957,L10,10.105,10.408,27.864,32.852,Sudden_Degradation,Anomaly
C0958,L10,10.888,12.704,17.336,24.256,Gradual_Degradation,Anomaly
C0959,L10,9.693,10.232,11.275,12.279,Normal,Normal
C0960,L10,10.673,11.151,12.278,13.802,Normal,Normal
C0961,L10,9.892,10.58,11.23,12.963,Normal,Normal
C0962,L10,9.633,11.365,16.42,22.4,Gradual_Degradation,Anomaly
C0963,L10,10.721,11.118,11.767,13.677,Normal,Normal
C0964,L10,9.88,10.382,11.246,12.936,Normal,Normal
C0965,L10,9.556,11.865,15.78,24.195,Gradual_Degradation,Anomaly
C0966,L10,10.32,11.794,15.558,23.018,Gradual_Degradation,Anomaly
C0967,L10,10.193,10.861,11.427,12.403,Normal,Normal
C0968,L10,9.268,17.582,25.548,33.883,Latent_Defect,Anomaly
C0969,L10,10.407,12.458,18.857,26.467,Gradual_Degradation,Anomaly
C0970,L10,9.883,10.911,11.426,12.334,Normal,Normal
C0971,L10,9.876,17.502,33.933,49.047,Latent_Defect,Anomaly
C0972,L10,9.463,9.987,11.061,11.74,Normal,Normal
C0973,L10,10.741,11.184,12.087,12.624,Normal,Normal
C0974,L10,10.099,10.679,11.422,12.436,Normal,Normal
C0975,L10,10.326,10.5,11.122,12.415,Normal,Normal
C0976,L10,10.466,11.112,12.37,13.471,Normal,Normal
C0977,L10,9.884,10.269,11.538,12.99,Normal,Normal
C0978,L10,9.663,10.014,10.581,11.388,Normal,Normal
C0979,L10,9.959,10.507,11.419,12.527,Normal,Normal
C0980,L10,10.217,10.615,11.653,12.465,Normal,Normal
C0981,L10,9.504,10.925,15.607,24.85,Gradual_Degradation,Anomaly
C0982,L10,9.938,12.174,17.938,25.899,Gradual_Degradation,Anomaly
C0983,L10,9.696,11.933,16.562,25.331,Gradual_Degradation,Anomaly
C0984,L10,10.063,10.328,11.545,12.589,Normal,Normal
C0985,L10,10.504,11.107,11.497,13.342,Normal,Normal
C0986,L10,9.605,10.105,11.582,12.59,Normal,Normal
C0987,L10,9.406,9.896,10.936,11.889,Normal,Normal
C0988,L10,9.458,16.816,27.234,41.302,Latent_Defect,Anomaly
C0989,L10,9.317,11.598,14.118,22.247,Gradual_Degradation,Anomaly
C0990,L10,9.723,10.299,11.039,12.078,Normal,Normal
C0991,L10,10.552,11.001,27.17,31.8,Sudden_Degradation,Anomaly
C0992,L10,10.196,10.564,11.115,12.627,Normal,Normal
C0993,L10,9.667,10.312,11.546,12.159,Normal,Normal
C0994,L10,10.131,10.835,11.48,12.379,Normal,Normal
C0995,L10,10.515,11.174,12.582,13.593,Normal,Normal
C0996,L10,10.011,17.749,25.108,40.674,Latent_Defect,Anomaly
C0997,L10,9.988,10.728,12.091,13.077,Normal,Normal
C0998,L10,9.83,10.564,12.39,13.268,Normal,Normal
C0999,L10,10.365,10.735,11.515,12.392,Normal,Normal
C1000,L10,9.558,9.954,11.099,11.32,Normal,Normal
